category,item,tier,notes
Clothing,Shirt or jersey,wear,
Clothing,Shirt or jersey,pack,
Clothing,Shirt or jersey,long,extra rotation for multi-day grime
Clothing,Bibs,wear,
Clothing,Bibs,long,
Clothing,Overshorts,wear,
Clothing,Socks,wear,
Clothing,Socks,pack,
Clothing,Socks,long,
Clothing,Shoes,wear,
Clothing,Helmet,wear,
Clothing,Sunglasses,wear,
Clothing,Rain jacket,pack,
Clothing,Cap,pack,
Clothing,Underwear,pack,
Clothing,Light shoes or sandals,pack,
Clothing,Insulating layer,cold,worn under jersey below 7C
Clothing,Warm gloves,cold,
Clothing,Warm hat or buff,cold,
Clothing,Tights,cold,
Clothing,Rain pants,cold,also useful in steady rain
Clothing,Rain socks,cold,
Clothing,Wind vest,wind,packable aero layer for gusty conditions
Clothing,Light pants,long,for camp / off-bike
Essentials,Phone,always,
Essentials,Charger,pack,
Essentials,"ID, cash/card, health ID",always,
Essentials,Sunscreen,always,
Essentials,Insect repellent wipes,bugs,
Essentials,Water bottles,pack,
Essentials,Water bottles,pack,
Essentials,Water bottles,long,
Essentials,Water treatment,pack,
Essentials,"Toothbrush, paste",pack,
Essentials,"TP, wet wipes",pack,
Essentials,"Meds, wound care",pack,
Essentials,Headlamp,pack,
Essentials,Pocket knife,pack,
Essentials,Camera,pack,
Essentials,Paper map,long,
Essentials,USB battery,long,
Essentials,Spare batteries,long,
Essentials,Spare memory card,long,
Bike,Rear blinkie,always,
Bike,Front light,night,
Bike,"Multi-tool, chain tool",always,
Bike,"Patches, glue",always,
Bike,Quick link,always,
Bike,Tire levers,always,
Bike,Tube,always,
Bike,Tube,long,
Bike,Pump (wrap in duct tape),always,
Bike,Small bottle of lube,long,
Bike,1/4 shop rag,long,
Bike,2 brake pads,long,
Bike,6 zip ties,long,
+Camping,"Tent, bivy, or tarp",pack,
+Camping,Sleeping bag/quilt,pack,
+Camping,Sleeping mat,pack,
+Cooking,"Small stove, fuel",pack,
+Cooking,Small pot,pack,
+Cooking,Spork,pack,
+Cooking,Lighter,pack,
+Cooking,Cup,long,
+Cooking,Pot scrubby,long,
+Cooking,Condiment packets,long,
